item,questions,category,subcategory,type,post_minus_pre_scores,phase
112,1. Kapý çaldý; açmadan ne sorarsýnýz? (KÝM O?),pragmatics,,,0,1
113,2. Birisi hapþýrýrsa ne dersiniz? (ÇOK YAÞA),pragmatics,,,0,1
114,3. Misafirleriniz gidiyorlar; uðurlarken ne dersiniz? (GÜLE GÜLE),pragmatics,,,0,1
115,4. Telefon çaldý Açtýðýnýzda ilk ne dersiniz? (ALO),pragmatics,,,0,1
116,5. Çok güzel bir yemek yediniz. Sofradan kalkýyorsunuz; yemeði piþiren kiþiye ne dersiniz? (ELÝNE SAÐLIK),pragmatics,,,0,1
117,"6. Birisi size 'Günaydýn ' derse, siz ne dersiniz? GÜNAYDIN)",pragmatics,,,0,1
118,7. Saçýnýz çok uzadý. Berbere/Kuaföre gittiniz; ne dersiniz? (SAÇIMI KES),pragmatics,,,0,1
119,8. Arkadaþýnýz hasta. Ziyaretine gittiniz; ne dersiniz? (GEÇMÝÞ OLSUN),pragmatics,,,0,1
120,"9. Bir ayakkabý almak istiyorsunuz, Üzerinde fiyatý yok: satýcýya ne sorarsýnýz? (NE KADAR?/ KAÇ LÝRA?)",pragmatics,,,0,1
121,"10. Size 'Nasýlsýnýz?"" diye sordular. Nasýl cevaplarsýnýz? (ÝYÝYÝM / HASTAYIM, vs) ",pragmatics,,,0,1
112,1. Kapý çaldý; açmadan ne sorarsýnýz? (KÝM O?),pragmatics,,,0,2
113,2. Birisi hapþýrýrsa ne dersiniz? (ÇOK YAÞA),pragmatics,,,0,2
114,3. Misafirleriniz gidiyorlar; uðurlarken ne dersiniz? (GÜLE GÜLE),pragmatics,,,4,2
115,4. Telefon çaldý Açtýðýnýzda ilk ne dersiniz? (ALO),pragmatics,,,3,2
116,5. Çok güzel bir yemek yediniz. Sofradan kalkýyorsunuz; yemeði piþiren kiþiye ne dersiniz? (ELÝNE SAÐLIK),pragmatics,,,0,2
117,"6. Birisi size 'Günaydýn ' derse, siz ne dersiniz? GÜNAYDIN)",pragmatics,,,0,2
118,7. Saçýnýz çok uzadý. Berbere/Kuaföre gittiniz; ne dersiniz? (SAÇIMI KES),pragmatics,,,0,2
119,8. Arkadaþýnýz hasta. Ziyaretine gittiniz; ne dersiniz? (GEÇMÝÞ OLSUN),pragmatics,,,0,2
120,"9. Bir ayakkabý almak istiyorsunuz, Üzerinde fiyatý yok: satýcýya ne sorarsýnýz? (NE KADAR?/ KAÇ LÝRA?)",pragmatics,,,0,2
121,"10. Size 'Nasýlsýnýz?"" diye sordular. Nasýl cevaplarsýnýz? (ÝYÝYÝM / HASTAYIM, vs) ",pragmatics,,,2,2
